ROWSxCOLUMNS,TIME
262144x128,2.004018
131072x256,1.766997
65536x512,1.639861
32768x1024,1.624510
16384x2048,1.596153
8192x4096,1.581390
4096x8192,1.574475
2048x16384,1.557653
1024x32768,1.562922
512x65536,1.552825
256x131072,1.562087
