ROWSxCOLUMNS, TIME
262144x128,1.143502
131072x256,0.984572
65536x512,0.945478
32768x1024,0.895628
16384x2048,0.869316
8192x4096,0.861041
4096x8192,0.866327
2048x16384,0.827626
1024x32768,0.859339
512x65536,0.888083
256x131072,0.903154
