ROWSxCOLUMNS,TIME
262144x128,0.626627
131072x256,0.505595
65536x512,0.453274
32768x1024,0.452887
16384x2048,0.454033
8192x4096,0.422664
4096x8192,0.420889
2048x16384,0.416620
1024x32768,0.437971
512x65536,0.542111
256x131072,0.589517
